,user_id,league_id,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,scoring_type,roster_qb,roster_rb,roster_wr,roster_te,roster_flex,total_teams,playoff_teams,made_playoffs
0,468286842773434368,607742930450444288,RB,TE,WR,QB,QB,RB,WR,WR,WR,RB,DEF,TE,2qb,1,2,2,1,2,14,8,True
1,460188604061184000,607742930450444288,QB,TE,QB,RB,QB,TE,WR,RB,WR,WR,WR,WR,2qb,1,2,2,1,2,14,8,True
2,488929390751641600,607742930450444288,RB,WR,QB,RB,WR,WR,RB,TE,QB,DEF,WR,WR,2qb,1,2,2,1,2,14,8,True
3,422770687518715904,607742930450444288,QB,WR,QB,RB,WR,RB,QB,RB,TE,RB,WR,WR,2qb,1,2,2,1,2,14,8,True
4,343216514322731008,607742930450444288,RB,QB,WR,WR,WR,WR,WR,WR,RB,TE,DEF,RB,2qb,1,2,2,1,2,14,8,False
5,609205272270938112,607742930450444288,QB,RB,RB,QB,QB,WR,WR,RB,TE,WR,RB,QB,2qb,1,2,2,1,2,14,8,False
6,207237146170368000,607742930450444288,QB,RB,RB,WR,WR,QB,QB,TE,RB,RB,DEF,WR,2qb,1,2,2,1,2,14,8,True
7,469206686091964416,607742930450444288,RB,QB,WR,QB,RB,TE,QB,RB,WR,DEF,WR,WR,2qb,1,2,2,1,2,14,8,False
8,376262422366896128,607742930450444288,QB,RB,WR,RB,QB,RB,WR,QB,RB,WR,WR,TE,2qb,1,2,2,1,2,14,8,True
9,607091587834503168,607742930450444288,QB,RB,RB,RB,TE,WR,RB,WR,WR,WR,RB,WR,2qb,1,2,2,1,2,14,8,False
10,475449283517083648,607742930450444288,RB,RB,RB,RB,RB,WR,RB,WR,RB,TE,WR,WR,2qb,1,2,2,1,2,14,8,True
11,608871850545577984,607742930450444288,WR,WR,WR,WR,WR,WR,RB,TE,QB,QB,RB,TE,2qb,1,2,2,1,2,14,8,False
12,538049004751925248,607742930450444288,RB,RB,WR,QB,TE,RB,RB,WR,WR,WR,WR,TE,2qb,1,2,2,1,2,14,8,True
13,300749354434592768,591846340707794944,RB,QB,QB,WR,WR,RB,RB,QB,WR,WR,WR,TE,2qb,1,2,2,1,2,12,6,False
14,310856386114224128,591846340707794944,QB,RB,WR,WR,RB,WR,RB,RB,TE,QB,QB,RB,2qb,1,2,2,1,2,12,6,False
15,466396171884032000,591846340707794944,QB,QB,RB,RB,WR,RB,RB,WR,WR,QB,TE,RB,2qb,1,2,2,1,2,12,6,True
16,327638026685526016,591846340707794944,RB,RB,QB,RB,WR,QB,RB,WR,WR,TE,WR,WR,2qb,1,2,2,1,2,12,6,True
17,36671216723312640,591846340707794944,RB,RB,WR,RB,WR,TE,WR,QB,QB,RB,TE,QB,2qb,1,2,2,1,2,12,6,False
18,430840397841838080,591846340707794944,RB,RB,WR,TE,QB,QB,WR,WR,WR,RB,RB,RB,2qb,1,2,2,1,2,12,6,True
19,409899591396229120,591846340707794944,WR,WR,WR,WR,TE,RB,QB,RB,QB,RB,WR,RB,2qb,1,2,2,1,2,12,6,False
20,334882758356664320,591846340707794944,RB,TE,WR,RB,QB,WR,QB,WR,QB,RB,RB,TE,2qb,1,2,2,1,2,12,6,False
21,196696739036532736,591846340707794944,RB,WR,WR,QB,RB,WR,QB,RB,WR,WR,TE,RB,2qb,1,2,2,1,2,12,6,False
22,208393370102398976,591846340707794944,RB,RB,WR,QB,WR,WR,WR,TE,QB,RB,WR,QB,2qb,1,2,2,1,2,12,6,True
23,333072684810244096,591846340707794944,RB,WR,RB,RB,QB,RB,WR,QB,RB,WR,TE,RB,2qb,1,2,2,1,2,12,6,True
24,320350143540895744,591846340707794944,RB,TE,WR,QB,WR,WR,RB,QB,TE,RB,WR,QB,2qb,1,2,2,1,2,12,6,True
